rank,model,category,accuracy,precision,recall,f1_score,training_time
1,SVM (RBF),Traditional ML,0.9542056074766355,0.9552829488781497,0.9542056074766355,0.9543025025148266,35.13104724884033
2,XLM-RoBERTa,Transformer,0.95,0.9501944444444445,0.95,0.9500520011143095,49.543925285339355
3,RemBERT,Transformer,0.95,0.9501737588652484,0.95,0.9500478568456097,4966.422177314758
4,MuRIL,Transformer,0.95,0.9500069893412547,0.95,0.9498750000000001,46.35223031044006
5,BERT (Multilingual),Transformer,0.94,0.942666338636488,0.94,0.940392930263816,38.94467782974243
6,Logistic Regression,Traditional ML,0.9373831775700935,0.9385211429992693,0.9373831775700935,0.9375437817904632,1.3036482334136963
7,XGBoost,Ensemble Learning,0.9242990654205607,0.926380279468858,0.9242990654205607,0.9245532498591863,7.7365663051605225
8,Naive Bayes,Traditional ML,0.9177570093457944,0.9210024639427338,0.9177570093457944,0.9182036756162171,1.0019783973693848
9,Random Forest,Traditional ML,0.8757009345794392,0.8817193511596206,0.8757009345794392,0.8763657923132968,1.676943302154541
10,Bi-LSTM,Deep Learning,0.8551401869158879,0.8693293425780024,0.8551401869158879,0.8558251772740917,1.9136102199554443
11,CNN,Deep Learning,0.8420560747663551,0.8570966884695345,0.8420560747663551,0.8440417306968502,2.8132944107055664
12,LSTM,Deep Learning,0.4224299065420561,0.17844702594113024,0.4224299065420561,0.25090449113930274,4.199958324432373
13,GRU,Deep Learning,0.4224299065420561,0.17844702594113024,0.4224299065420561,0.25090449113930274,4.40530800819397
14,CNN-LSTM,Deep Learning,0.4224299065420561,0.17844702594113024,0.4224299065420561,0.25090449113930274,5.743454217910767
15,M10,Large Language Model,0.322,0.21525250162443146,0.322,0.22871413615837746,4626.240378856659
16,Qwen 2.5,Large Language Model,0.27,0.4006552706552706,0.27,0.2194834623504574,4629.705202579498
